disease,pageid,url
Adrenal gland,2296,https://en.wikipedia.org/wiki/Adrenal_gland
Adrenocortical hormone,4561837,https://en.wikipedia.org/wiki/Adrenocortical_hormone
Labradoodle,483145,https://en.wikipedia.org/wiki/Labradoodle
Oral pigmentation,23356680,https://en.wikipedia.org/wiki/Oral_pigmentation
Melasma,1396651,https://en.wikipedia.org/wiki/Melasma
Corticotropic cell,608439,https://en.wikipedia.org/wiki/Corticotropic_cell
Adenoid cystic carcinoma,1300916,https://en.wikipedia.org/wiki/Adenoid_cystic_carcinoma
Cylindroma,24138233,https://en.wikipedia.org/wiki/Cylindroma
Adenylosuccinate lyase deficiency,4153824,https://en.wikipedia.org/wiki/Adenylosuccinate_lyase_deficiency
Adie syndrome,2959537,https://en.wikipedia.org/wiki/Adie_syndrome
Ciliary ganglion,2886658,https://en.wikipedia.org/wiki/Ciliary_ganglion
Helsmoortel-Van der Aa syndrome,58155298,https://en.wikipedia.org/wiki/Helsmoortel-Van_der_Aa_syndrome
Neuronal ceroid lipofuscinosis,2187652,https://en.wikipedia.org/wiki/Neuronal_ceroid_lipofuscinosis
Kufs disease,44163912,https://en.wikipedia.org/wiki/Kufs_disease
Dracunculiasis,1041031,https://en.wikipedia.org/wiki/Dracunculiasis
Dravet syndrome,7009297,https://en.wikipedia.org/wiki/Dravet_syndrome
Duane syndrome,1717361,https://en.wikipedia.org/wiki/Duane_syndrome
Duane-radial ray syndrome,5729594,https://en.wikipedia.org/wiki/Duane-radial_ray_syndrome
Dubin–Johnson syndrome,2855703,https://en.wikipedia.org/wiki/Dubin–Johnson_syndrome
Multidrug resistance-associated protein 2,14723626,https://en.wikipedia.org/wiki/Multidrug_resistance-associated_protein_2
Bilirubin glucuronide,60670327,https://en.wikipedia.org/wiki/Bilirubin_glucuronide
Dubowitz syndrome,10985916,https://en.wikipedia.org/wiki/Dubowitz_syndrome
Duchenne muscular dystrophy,974284,https://en.wikipedia.org/wiki/Duchenne_muscular_dystrophy
Antisense therapy,1137144,https://en.wikipedia.org/wiki/Antisense_therapy
Dystrophinopathy,63899538,https://en.wikipedia.org/wiki/Dystrophinopathy
Duodenal atresia,9634192,https://en.wikipedia.org/wiki/Duodenal_atresia
Annular pancreas,3250107,https://en.wikipedia.org/wiki/Annular_pancreas
Hereditary sensory and autonomic neuropathy,17596014,https://en.wikipedia.org/wiki/Hereditary_sensory_and_autonomic_neuropathy
Dyskeratosis congenita,3076958,https://en.wikipedia.org/wiki/Dyskeratosis_congenita
WRAP53,46561258,https://en.wikipedia.org/wiki/WRAP53
Trevor disease,20332415,https://en.wikipedia.org/wiki/Trevor_disease
Dystonia,653778,https://en.wikipedia.org/wiki/Dystonia
Torsion dystonia,2123234,https://en.wikipedia.org/wiki/Torsion_dystonia
Hyperkinesia,1370748,https://en.wikipedia.org/wiki/Hyperkinesia
Extrapyramidal symptoms,5620134,https://en.wikipedia.org/wiki/Extrapyramidal_symptoms
Basal ganglia disease,22229344,https://en.wikipedia.org/wiki/Basal_ganglia_disease
2009 swine flu pandemic vaccine,23224587,https://en.wikipedia.org/wiki/2009_swine_flu_pandemic_vaccine
Sensory-motor coupling,33676217,https://en.wikipedia.org/wiki/Sensory-motor_coupling
Eales disease,4486759,https://en.wikipedia.org/wiki/Eales_disease
Ehlers–Danlos syndromes,156668,https://en.wikipedia.org/wiki/Ehlers–Danlos_syndromes
Zebra print ribbon,64205503,https://en.wikipedia.org/wiki/Zebra_print_ribbon
Right-to-left shunt,3806302,https://en.wikipedia.org/wiki/Right-to-left_shunt
Elephantiasis,211288,https://en.wikipedia.org/wiki/Elephantiasis
Ellis–Van Creveld syndrome,1445505,https://en.wikipedia.org/wiki/Ellis–Van_Creveld_syndrome
Emery–Dreifuss muscular dystrophy,5679486,https://en.wikipedia.org/wiki/Emery–Dreifuss_muscular_dystrophy
Emphysema,50762105,https://en.wikipedia.org/wiki/Emphysema
Empty sella syndrome,4294023,https://en.wikipedia.org/wiki/Empty_sella_syndrome
Encephalocele,3170811,https://en.wikipedia.org/wiki/Encephalocele
Craniofacial cleft,29476907,https://en.wikipedia.org/wiki/Craniofacial_cleft
Endocardial fibroelastosis,5315900,https://en.wikipedia.org/wiki/Endocardial_fibroelastosis
Hypereosinophilic syndrome,893963,https://en.wikipedia.org/wiki/Hypereosinophilic_syndrome
Pinworm infection,22737230,https://en.wikipedia.org/wiki/Pinworm_infection
Eosinophilia–myalgia syndrome,63050,https://en.wikipedia.org/wiki/Eosinophilia–myalgia_syndrome
Tryptophan,58358,https://en.wikipedia.org/wiki/Tryptophan
Eosinophilic esophagitis,4094257,https://en.wikipedia.org/wiki/Eosinophilic_esophagitis
Budesonide,30862594,https://en.wikipedia.org/wiki/Budesonide
EOE,1721230,https://en.wikipedia.org/wiki/EOE
Eosinophilic fasciitis,3192935,https://en.wikipedia.org/wiki/Eosinophilic_fasciitis
Eosinophilic gastroenteritis,10729341,https://en.wikipedia.org/wiki/Eosinophilic_gastroenteritis
Aeroallergen,21591359,https://en.wikipedia.org/wiki/Aeroallergen
Epidermolysis bullosa,663200,https://en.wikipedia.org/wiki/Epidermolysis_bullosa
Genodermatosis,12285013,https://en.wikipedia.org/wiki/Genodermatosis
Epidermolytic hyperkeratosis,617568,https://en.wikipedia.org/wiki/Epidermolytic_hyperkeratosis
Erdheim–Chester disease,6566981,https://en.wikipedia.org/wiki/Erdheim–Chester_disease
Erysipelas,58637,https://en.wikipedia.org/wiki/Erysipelas
Cellulitis,732173,https://en.wikipedia.org/wiki/Cellulitis
Friedrich Fehleisen,36232815,https://en.wikipedia.org/wiki/Friedrich_Fehleisen
Erythema multiforme,944199,https://en.wikipedia.org/wiki/Erythema_multiforme
Rothmund–Thomson syndrome,12994627,https://en.wikipedia.org/wiki/Rothmund–Thomson_syndrome
Erythromelalgia,853501,https://en.wikipedia.org/wiki/Erythromelalgia
Blood vessel disorder,60041475,https://en.wikipedia.org/wiki/Blood_vessel_disorder
Tracheoesophageal fistula,1009178,https://en.wikipedia.org/wiki/Tracheoesophageal_fistula
Esophageal atresia,185450,https://en.wikipedia.org/wiki/Esophageal_atresia
Esophageal cancer,243539,https://en.wikipedia.org/wiki/Esophageal_cancer
Fumonisin B1,1966875,https://en.wikipedia.org/wiki/Fumonisin_B1
Essential thrombocythemia,892865,https://en.wikipedia.org/wiki/Essential_thrombocythemia
Megakaryocyte,524385,https://en.wikipedia.org/wiki/Megakaryocyte
Essential tremor,10528,https://en.wikipedia.org/wiki/Essential_tremor
Primidone,2157713,https://en.wikipedia.org/wiki/Primidone
Shape-memory alloy,665728,https://en.wikipedia.org/wiki/Shape-memory_alloy
Long-term effects of alcohol,337566,https://en.wikipedia.org/wiki/Long-term_effects_of_alcohol
Electrophysiological techniques for clinical diagnosis,36564148,https://en.wikipedia.org/wiki/Electrophysiological_techniques_for_clinical_diagnosis
Discovery and development of beta-blockers,41069208,https://en.wikipedia.org/wiki/Discovery_and_development_of_beta-blockers
Evans syndrome,1657789,https://en.wikipedia.org/wiki/Evans_syndrome
Ewing's sarcoma,10683575,https://en.wikipedia.org/wiki/Ewing's_sarcoma
Ewing family of tumors,14905484,https://en.wikipedia.org/wiki/Ewing_family_of_tumors
Mir-708 microRNA precursor family,36471124,https://en.wikipedia.org/wiki/Mir-708_microRNA_precursor_family
Fabry disease,613992,https://en.wikipedia.org/wiki/Fabry_disease
Alpha-galactosidase,3735904,https://en.wikipedia.org/wiki/Alpha-galactosidase
Facioscapulohumeral muscular dystrophy,2570824,https://en.wikipedia.org/wiki/Facioscapulohumeral_muscular_dystrophy
Trapezius,211356,https://en.wikipedia.org/wiki/Trapezius
Factor VII deficiency,4304734,https://en.wikipedia.org/wiki/Factor_VII_deficiency
Factor X deficiency,4303229,https://en.wikipedia.org/wiki/Factor_X_deficiency
Haemophilia C,515885,https://en.wikipedia.org/wiki/Haemophilia_C
Factor XII deficiency,53251260,https://en.wikipedia.org/wiki/Factor_XII_deficiency
Factor XIII deficiency,4304755,https://en.wikipedia.org/wiki/Factor_XIII_deficiency
Familial adenomatous polyposis,1106793,https://en.wikipedia.org/wiki/Familial_adenomatous_polyposis
Colorectal polyp,13912606,https://en.wikipedia.org/wiki/Colorectal_polyp
Celecoxib,648828,https://en.wikipedia.org/wiki/Celecoxib
Cancer syndrome,38885064,https://en.wikipedia.org/wiki/Cancer_syndrome
Benign tumor,1342811,https://en.wikipedia.org/wiki/Benign_tumor
Rectal discharge,36323762,https://en.wikipedia.org/wiki/Rectal_discharge
Mouse model of colorectal and intestinal cancer,16818636,https://en.wikipedia.org/wiki/Mouse_model_of_colorectal_and_intestinal_cancer
Familial encephalopathy with neuroserpin inclusion bodies,12882180,https://en.wikipedia.org/wiki/Familial_encephalopathy_with_neuroserpin_inclusion_bodies
Eosinophilic cellulitis,21614587,https://en.wikipedia.org/wiki/Eosinophilic_cellulitis
Familial hypercholesterolemia,6834535,https://en.wikipedia.org/wiki/Familial_hypercholesterolemia
Statin,178197,https://en.wikipedia.org/wiki/Statin
X-linked hypophosphatemia,6480091,https://en.wikipedia.org/wiki/X-linked_hypophosphatemia
Familial Mediterranean fever,502447,https://en.wikipedia.org/wiki/Familial_Mediterranean_fever
Familial partial lipodystrophy,21894545,https://en.wikipedia.org/wiki/Familial_partial_lipodystrophy
Lipoatrophic diabetes,6060796,https://en.wikipedia.org/wiki/Lipoatrophic_diabetes
DNA ligase,8697,https://en.wikipedia.org/wiki/DNA_ligase
RAD51,8520848,https://en.wikipedia.org/wiki/RAD51
ERCC4,14760958,https://en.wikipedia.org/wiki/ERCC4
Fasciolosis,1043902,https://en.wikipedia.org/wiki/Fasciolosis
Hemochromatosis type 4,52234631,https://en.wikipedia.org/wiki/Hemochromatosis_type_4
Fetal hydantoin syndrome,6955552,https://en.wikipedia.org/wiki/Fetal_hydantoin_syndrome
Fibrodysplasia ossificans progressiva,1556233,https://en.wikipedia.org/wiki/Fibrodysplasia_ossificans_progressiva
Fibrolamellar hepatocellular carcinoma,18308750,https://en.wikipedia.org/wiki/Fibrolamellar_hepatocellular_carcinoma
Fibromuscular dysplasia,4350672,https://en.wikipedia.org/wiki/Fibromuscular_dysplasia
Renal artery stenosis,1263037,https://en.wikipedia.org/wiki/Renal_artery_stenosis
Fibrous dysplasia of bone,1617101,https://en.wikipedia.org/wiki/Fibrous_dysplasia_of_bone
Filariasis,336866,https://en.wikipedia.org/wiki/Filariasis
Filippi Syndrome,69198655,https://en.wikipedia.org/wiki/Filippi_Syndrome
Fitz-Hugh–Curtis syndrome,732188,https://en.wikipedia.org/wiki/Fitz-Hugh–Curtis_syndrome
Floating–Harbor syndrome,34543008,https://en.wikipedia.org/wiki/Floating–Harbor_syndrome
Focal dermal hypoplasia,18936852,https://en.wikipedia.org/wiki/Focal_dermal_hypoplasia
Focal segmental glomerulosclerosis,2277158,https://en.wikipedia.org/wiki/Focal_segmental_glomerulosclerosis
Glomerulonephritis,1196268,https://en.wikipedia.org/wiki/Glomerulonephritis
Follicular lymphoma,3034995,https://en.wikipedia.org/wiki/Follicular_lymphoma
Copanlisib,45570623,https://en.wikipedia.org/wiki/Copanlisib
Minimal residual disease,15354259,https://en.wikipedia.org/wiki/Minimal_residual_disease
Food protein-induced enterocolitis syndrome,34509470,https://en.wikipedia.org/wiki/Food_protein-induced_enterocolitis_syndrome
Fountain syndrome,3730400,https://en.wikipedia.org/wiki/Fountain_syndrome
Fournier gangrene,8187420,https://en.wikipedia.org/wiki/Fournier_gangrene
Gangrene,237977,https://en.wikipedia.org/wiki/Gangrene
Testicular pain,3481900,https://en.wikipedia.org/wiki/Testicular_pain
Scrotal ultrasound,32275854,https://en.wikipedia.org/wiki/Scrotal_ultrasound
Fox–Fordyce disease,7270648,https://en.wikipedia.org/wiki/Fox–Fordyce_disease
Fragile X syndrome,53142,https://en.wikipedia.org/wiki/Fragile_X_syndrome
Trinucleotide repeat expansion,5706520,https://en.wikipedia.org/wiki/Trinucleotide_repeat_expansion
Metadoxine,40993920,https://en.wikipedia.org/wiki/Metadoxine
Conditions comorbid to autism spectrum disorders,972242,https://en.wikipedia.org/wiki/Conditions_comorbid_to_autism_spectrum_disorders
Gamma wave,1673438,https://en.wikipedia.org/wiki/Gamma_wave
David L. Nelson,61044596,https://en.wikipedia.org/wiki/David_L._Nelson
Cognitive genomics,34035032,https://en.wikipedia.org/wiki/Cognitive_genomics
Fraser syndrome,2670970,https://en.wikipedia.org/wiki/Fraser_syndrome
Vaginal atresia,2810149,https://en.wikipedia.org/wiki/Vaginal_atresia
Freeman–Sheldon syndrome,5020632,https://en.wikipedia.org/wiki/Freeman–Sheldon_syndrome
Friedreich's ataxia,1602117,https://en.wikipedia.org/wiki/Friedreich's_ataxia
Di-deuterated linoleic acid ethyl ester,56911085,https://en.wikipedia.org/wiki/Di-deuterated_linoleic_acid_ethyl_ester
Omaveloxolone,46403686,https://en.wikipedia.org/wiki/Omaveloxolone
Retrotope,57089957,https://en.wikipedia.org/wiki/Retrotope
Reinforced lipids,66733878,https://en.wikipedia.org/wiki/Reinforced_lipids
H3K9me2,57632169,https://en.wikipedia.org/wiki/H3K9me2
Adiposogenital dystrophy,5222807,https://en.wikipedia.org/wiki/Adiposogenital_dystrophy
Frontonasal dysplasia,17497006,https://en.wikipedia.org/wiki/Frontonasal_dysplasia
Frontotemporal dementia,668318,https://en.wikipedia.org/wiki/Frontotemporal_dementia
Frontotemporal lobar degeneration,2230830,https://en.wikipedia.org/wiki/Frontotemporal_lobar_degeneration
Self-conscious emotions,17526284,https://en.wikipedia.org/wiki/Self-conscious_emotions
Granulin,14723656,https://en.wikipedia.org/wiki/Granulin
Fryns syndrome,26423633,https://en.wikipedia.org/wiki/Fryns_syndrome
Fucosidosis,5759754,https://en.wikipedia.org/wiki/Fucosidosis
Muscular dystrophy,18982,https://en.wikipedia.org/wiki/Muscular_dystrophy
Conversion disorder,880777,https://en.wikipedia.org/wiki/Conversion_disorder
Galactosemia,515067,https://en.wikipedia.org/wiki/Galactosemia
Galactosemic cataract,17010350,https://en.wikipedia.org/wiki/Galactosemic_cataract
Transferase,548012,https://en.wikipedia.org/wiki/Transferase
Primary ovarian insufficiency,4682065,https://en.wikipedia.org/wiki/Primary_ovarian_insufficiency
Breastfeeding,19347033,https://en.wikipedia.org/wiki/Breastfeeding
Galloway Mowat syndrome,4293651,https://en.wikipedia.org/wiki/Galloway_Mowat_syndrome
Tyrosine kinase,51903,https://en.wikipedia.org/wiki/Tyrosine_kinase
Gastroparesis,12128133,https://en.wikipedia.org/wiki/Gastroparesis
Domperidone,964888,https://en.wikipedia.org/wiki/Domperidone
Stomach disease,17615699,https://en.wikipedia.org/wiki/Stomach_disease
Granisetron,429616,https://en.wikipedia.org/wiki/Granisetron
Metoclopramide,383611,https://en.wikipedia.org/wiki/Metoclopramide
Tradipitant,48567899,https://en.wikipedia.org/wiki/Tradipitant
Gastroschisis,1212808,https://en.wikipedia.org/wiki/Gastroschisis
Generalized arterial calcification of infancy,25498207,https://en.wikipedia.org/wiki/Generalized_arterial_calcification_of_infancy
Geographic tongue,3181180,https://en.wikipedia.org/wiki/Geographic_tongue
Gerstmann syndrome,23624228,https://en.wikipedia.org/wiki/Gerstmann_syndrome
Gestational trophoblastic disease,1166283,https://en.wikipedia.org/wiki/Gestational_trophoblastic_disease
Gianotti–Crosti syndrome,18870628,https://en.wikipedia.org/wiki/Gianotti–Crosti_syndrome
Giant axonal neuropathy,2573463,https://en.wikipedia.org/wiki/Giant_axonal_neuropathy
Giant cell arteritis,31620,https://en.wikipedia.org/wiki/Giant_cell_arteritis
Tocilizumab,9134392,https://en.wikipedia.org/wiki/Tocilizumab
Acute visual loss,58816259,https://en.wikipedia.org/wiki/Acute_visual_loss
Idiopathic giant-cell myocarditis,10940157,https://en.wikipedia.org/wiki/Idiopathic_giant-cell_myocarditis
Neurocutaneous melanosis,40621810,https://en.wikipedia.org/wiki/Neurocutaneous_melanosis
Gitelman syndrome,1999367,https://en.wikipedia.org/wiki/Gitelman_syndrome
Sodium-chloride symporter,5999534,https://en.wikipedia.org/wiki/Sodium-chloride_symporter
Glioblastoma,1023575,https://en.wikipedia.org/wiki/Glioblastoma
Astrocytoma,1024087,https://en.wikipedia.org/wiki/Astrocytoma
Rindopepimut,50228427,https://en.wikipedia.org/wiki/Rindopepimut
HOXA6,15215088,https://en.wikipedia.org/wiki/HOXA6
The Cancer Genome Atlas,11021613,https://en.wikipedia.org/wiki/The_Cancer_Genome_Atlas
Blastoma,3126175,https://en.wikipedia.org/wiki/Blastoma
Sheila Singh,60474384,https://en.wikipedia.org/wiki/Sheila_Singh
Ubiquitin,32167,https://en.wikipedia.org/wiki/Ubiquitin
Glioma,645839,https://en.wikipedia.org/wiki/Glioma
PTPRK,14878290,https://en.wikipedia.org/wiki/PTPRK
Glucose-6-phosphate dehydrogenase deficiency,382801,https://en.wikipedia.org/wiki/Glucose-6-phosphate_dehydrogenase_deficiency
Human genetic resistance to malaria,24973826,https://en.wikipedia.org/wiki/Human_genetic_resistance_to_malaria
Glucose-galactose malabsorption,12774482,https://en.wikipedia.org/wiki/Glucose-galactose_malabsorption
Glutathione synthetase deficiency,8444181,https://en.wikipedia.org/wiki/Glutathione_synthetase_deficiency
Phosphofructokinase deficiency,1017886,https://en.wikipedia.org/wiki/Phosphofructokinase_deficiency
Glycogen storage disease type I,1716876,https://en.wikipedia.org/wiki/Glycogen_storage_disease_type_I
Edgar von Gierke,18953894,https://en.wikipedia.org/wiki/Edgar_von_Gierke
Glycogen storage disease type III,2975398,https://en.wikipedia.org/wiki/Glycogen_storage_disease_type_III
Glycogen storage disease type IX,17107820,https://en.wikipedia.org/wiki/Glycogen_storage_disease_type_IX
Glycogen storage disease type V,160847,https://en.wikipedia.org/wiki/Glycogen_storage_disease_type_V
Glycogen storage disease type VI,10263466,https://en.wikipedia.org/wiki/Glycogen_storage_disease_type_VI
Hereditary inclusion body myopathy,2662397,https://en.wikipedia.org/wiki/Hereditary_inclusion_body_myopathy
N-Acetylmannosamine,7377129,https://en.wikipedia.org/wiki/N-Acetylmannosamine
Goblet cell carcinoid,29812238,https://en.wikipedia.org/wiki/Goblet_cell_carcinoid
Goodpasture syndrome,1004981,https://en.wikipedia.org/wiki/Goodpasture_syndrome
Arthrogryposis,969023,https://en.wikipedia.org/wiki/Arthrogryposis
Gordon syndrome,42464949,https://en.wikipedia.org/wiki/Gordon_syndrome
Acrogeria,26818146,https://en.wikipedia.org/wiki/Acrogeria
Graft-versus-host disease,575888,https://en.wikipedia.org/wiki/Graft-versus-host_disease
Cyclophosphamide,1674907,https://en.wikipedia.org/wiki/Cyclophosphamide
Sirolimus,529476,https://en.wikipedia.org/wiki/Sirolimus
Purinergic signalling,40447725,https://en.wikipedia.org/wiki/Purinergic_signalling
Mesoblast,44332618,https://en.wikipedia.org/wiki/Mesoblast
Thymus transplantation,25491298,https://en.wikipedia.org/wiki/Thymus_transplantation
Granuloma annulare,4930240,https://en.wikipedia.org/wiki/Granuloma_annulare
Granulomatosis with polyangiitis,794996,https://en.wikipedia.org/wiki/Granulomatosis_with_polyangiitis
Graves' disease,51760,https://en.wikipedia.org/wiki/Graves'_disease
Thyroid,30078,https://en.wikipedia.org/wiki/Thyroid
Ipodate sodium,16923597,https://en.wikipedia.org/wiki/Ipodate_sodium
Blocking antibody,7851150,https://en.wikipedia.org/wiki/Blocking_antibody
Greig cephalopolysyndactyly syndrome,4940778,https://en.wikipedia.org/wiki/Greig_cephalopolysyndactyly_syndrome
Transient acantholytic dermatosis,9775669,https://en.wikipedia.org/wiki/Transient_acantholytic_dermatosis
Growth hormone deficiency,620879,https://en.wikipedia.org/wiki/Growth_hormone_deficiency
Laron syndrome,8501552,https://en.wikipedia.org/wiki/Laron_syndrome
Guanidinoacetate methyltransferase deficiency,12774553,https://en.wikipedia.org/wiki/Guanidinoacetate_methyltransferase_deficiency
Guillain–Barré syndrome,12800708,https://en.wikipedia.org/wiki/Guillain–Barré_syndrome
Nerve conduction velocity,3844545,https://en.wikipedia.org/wiki/Nerve_conduction_velocity
Influenza vaccine,1045705,https://en.wikipedia.org/wiki/Influenza_vaccine
Diomedes Díaz,3947887,https://en.wikipedia.org/wiki/Diomedes_Díaz
Zika fever,11986060,https://en.wikipedia.org/wiki/Zika_fever
Hailey–Hailey disease,5333392,https://en.wikipedia.org/wiki/Hailey–Hailey_disease
Haim–Munk syndrome,25622445,https://en.wikipedia.org/wiki/Haim–Munk_syndrome
Hairy cell leukemia,1094648,https://en.wikipedia.org/wiki/Hairy_cell_leukemia
Hajdu–Cheney syndrome,4469900,https://en.wikipedia.org/wiki/Hajdu–Cheney_syndrome
Serpentine fibula-polycystic kidney syndrome,20110864,https://en.wikipedia.org/wiki/Serpentine_fibula-polycystic_kidney_syndrome
Hallermann–Streiff syndrome,1009319,https://en.wikipedia.org/wiki/Hallermann–Streiff_syndrome
Hanhart syndrome,17699507,https://en.wikipedia.org/wiki/Hanhart_syndrome
Hantavirus pulmonary syndrome,39903079,https://en.wikipedia.org/wiki/Hantavirus_pulmonary_syndrome
Hartnup disease,2441688,https://en.wikipedia.org/wiki/Hartnup_disease
Heavy Metal Poisoning,25065754,https://en.wikipedia.org/wiki/Heavy_Metal_Poisoning
Hemimegalencephaly,7209401,https://en.wikipedia.org/wiki/Hemimegalencephaly
Megalencephaly,232049,https://en.wikipedia.org/wiki/Megalencephaly
Hemiplegic migraine,7362700,https://en.wikipedia.org/wiki/Hemiplegic_migraine
Familial hemiplegic migraine,4206029,https://en.wikipedia.org/wiki/Familial_hemiplegic_migraine
Sporadic hemiplegic migraine,7362738,https://en.wikipedia.org/wiki/Sporadic_hemiplegic_migraine
Hemophagocytic lymphohistiocytosis,7519721,https://en.wikipedia.org/wiki/Hemophagocytic_lymphohistiocytosis
Haemophilia A,199312,https://en.wikipedia.org/wiki/Haemophilia_A
Henoch–Schönlein purpura,797287,https://en.wikipedia.org/wiki/Henoch–Schönlein_purpura
Hepatic encephalopathy,1105043,https://en.wikipedia.org/wiki/Hepatic_encephalopathy
Rifaximin,4018919,https://en.wikipedia.org/wiki/Rifaximin
Portal hypertension,707615,https://en.wikipedia.org/wiki/Portal_hypertension
Hepatitis D,214294,https://en.wikipedia.org/wiki/Hepatitis_D
Hepatocellular carcinoma,237585,https://en.wikipedia.org/wiki/Hepatocellular_carcinoma
Cirrhosis,21365918,https://en.wikipedia.org/wiki/Cirrhosis
Liver cancer,12284396,https://en.wikipedia.org/wiki/Liver_cancer
Proton therapy,1164549,https://en.wikipedia.org/wiki/Proton_therapy
ADAR,14723545,https://en.wikipedia.org/wiki/ADAR
Des-gamma carboxyprothrombin,10975396,https://en.wikipedia.org/wiki/Des-gamma_carboxyprothrombin
Elevated alpha-fetoprotein,26911392,https://en.wikipedia.org/wiki/Elevated_alpha-fetoprotein
African iron overload,3372232,https://en.wikipedia.org/wiki/African_iron_overload
SULF1,15069546,https://en.wikipedia.org/wiki/SULF1
Stable nucleic acid lipid particle,27557852,https://en.wikipedia.org/wiki/Stable_nucleic_acid_lipid_particle
H19 (gene),14764448,https://en.wikipedia.org/wiki/H19_(gene)
Hepatoerythropoietic porphyria,6701328,https://en.wikipedia.org/wiki/Hepatoerythropoietic_porphyria
Hepatopulmonary syndrome,8440662,https://en.wikipedia.org/wiki/Hepatopulmonary_syndrome
Hepatorenal syndrome,2204330,https://en.wikipedia.org/wiki/Hepatorenal_syndrome
Hereditary angioedema,960783,https://en.wikipedia.org/wiki/Hereditary_angioedema
C1-inhibitor,1499988,https://en.wikipedia.org/wiki/C1-inhibitor
Hereditary coproporphyria,518656,https://en.wikipedia.org/wiki/Hereditary_coproporphyria
Hereditary hemorrhagic telangiectasia,728467,https://en.wikipedia.org/wiki/Hereditary_hemorrhagic_telangiectasia
Hereditary leiomyomatosis and renal cell carcinoma,41969624,https://en.wikipedia.org/wiki/Hereditary_leiomyomatosis_and_renal_cell_carcinoma
Hereditary multiple exostoses,1002689,https://en.wikipedia.org/wiki/Hereditary_multiple_exostoses
Exostosis,2010819,https://en.wikipedia.org/wiki/Exostosis
Hereditary neuralgic amyotrophy,13799538,https://en.wikipedia.org/wiki/Hereditary_neuralgic_amyotrophy
Congenital insensitivity to pain with anhidrosis,1124428,https://en.wikipedia.org/wiki/Congenital_insensitivity_to_pain_with_anhidrosis
Familial dysautonomia,1212545,https://en.wikipedia.org/wiki/Familial_dysautonomia
Adult polyglucosan body disease,47587093,https://en.wikipedia.org/wiki/Adult_polyglucosan_body_disease
Hereditary diffuse leukoencephalopathy with spheroids,34231074,https://en.wikipedia.org/wiki/Hereditary_diffuse_leukoencephalopathy_with_spheroids
Adult-onset Still's disease,14594345,https://en.wikipedia.org/wiki/Adult-onset_Still's_disease
Hay–Wells syndrome,9052432,https://en.wikipedia.org/wiki/Hay–Wells_syndrome
Rapp–Hodgkin syndrome,21523377,https://en.wikipedia.org/wiki/Rapp–Hodgkin_syndrome
Hypogammaglobulinemia,2801308,https://en.wikipedia.org/wiki/Hypogammaglobulinemia
Corpus callosum,270014,https://en.wikipedia.org/wiki/Corpus_callosum
Agenesis,2281166,https://en.wikipedia.org/wiki/Agenesis
Spatial hearing loss,32105732,https://en.wikipedia.org/wiki/Spatial_hearing_loss
Neutropenia,235419,https://en.wikipedia.org/wiki/Neutropenia
Aicardi syndrome,878528,https://en.wikipedia.org/wiki/Aicardi_syndrome
AIDS dysmorphic syndrome,47894415,https://en.wikipedia.org/wiki/AIDS_dysmorphic_syndrome
Alagille syndrome,1492251,https://en.wikipedia.org/wiki/Alagille_syndrome
Alexander disease,910135,https://en.wikipedia.org/wiki/Alexander_disease
Alkaptonuria,148249,https://en.wikipedia.org/wiki/Alkaptonuria
Allelic heterogeneity,19031099,https://en.wikipedia.org/wiki/Allelic_heterogeneity
Alopecia areata,169498,https://en.wikipedia.org/wiki/Alopecia_areata
Tofacitinib,30805678,https://en.wikipedia.org/wiki/Tofacitinib
Alpha-thalassemia,4210617,https://en.wikipedia.org/wiki/Alpha-thalassemia
Hemoglobin A,1701330,https://en.wikipedia.org/wiki/Hemoglobin_A
Sickle cell trait,4280556,https://en.wikipedia.org/wiki/Sickle_cell_trait
Transfusion-dependent anemia,63563062,https://en.wikipedia.org/wiki/Transfusion-dependent_anemia
ATR-X syndrome,5424608,https://en.wikipedia.org/wiki/ATR-X_syndrome
Alpha-1 antitrypsin deficiency,310757,https://en.wikipedia.org/wiki/Alpha-1_antitrypsin_deficiency
Hereditary spastic paraplegia,233735,https://en.wikipedia.org/wiki/Hereditary_spastic_paraplegia
PLA2G6,14756996,https://en.wikipedia.org/wiki/PLA2G6
Hereditary spherocytosis,502534,https://en.wikipedia.org/wiki/Hereditary_spherocytosis
Spherocytosis,226540,https://en.wikipedia.org/wiki/Spherocytosis
Congenital hemolytic anemia,21437834,https://en.wikipedia.org/wiki/Congenital_hemolytic_anemia
Hermansky–Pudlak syndrome,3452820,https://en.wikipedia.org/wiki/Hermansky–Pudlak_syndrome
Benzonatate,1783208,https://en.wikipedia.org/wiki/Benzonatate
Hirschsprung's disease,311446,https://en.wikipedia.org/wiki/Hirschsprung's_disease
Calretinin,9514578,https://en.wikipedia.org/wiki/Calretinin
Megacolon,2593330,https://en.wikipedia.org/wiki/Megacolon
Orvar Swenson,60225943,https://en.wikipedia.org/wiki/Orvar_Swenson
Anorectal manometry,29551504,https://en.wikipedia.org/wiki/Anorectal_manometry
Neural crest,2006521,https://en.wikipedia.org/wiki/Neural_crest
Histidinemia,5315942,https://en.wikipedia.org/wiki/Histidinemia
Histidine ammonia-lyase,11196683,https://en.wikipedia.org/wiki/Histidine_ammonia-lyase
AIDS-related lymphoma,632626,https://en.wikipedia.org/wiki/AIDS-related_lymphoma
